功能名,Function name,register address,Decimal,fields,type,accuracy,units,min,max,Properties,说明,Description,Confidential,Mask computation,,Support single register read,Support single register write,Register linking is supported,Register concatenation is supported,备注(Remarks),Remarks
直流分量,DC component,06C6,,DCI_R,I16,1,mA,,,R,R相电流直流分量,DC component of R-phase current,Installers,,,,,,,,
,,06C7,,DCI_S,I16,1,mA,,,R,S相电流直流分量,S phase current DC component,Installers,,,,,,,,
,,06C8,,DCI_T,I16,1,mA,,,R,T相电流直流分量,Phase T current DC component,Installers,,,,,,,,
,,06C9,,DCV_R,I16,1,mV,,,R,R相电压直流分量,DC component of phase R voltage,Installers,,,,,,,,
,,06CA,,DCV_S,I16,1,mV,,,R,S相电压直流分量,DC component of phase S voltage,Installers,,,,,,,,
,,06CB,,DCV_T,I16,1,mV,,,R,T相电压直流分量,DC component of T-phase voltage,Installers,,,,,,,,
"BUS电压信息
BuckBoost电流","BUS voltage information
BuckBoost current",06CC,,Voltage_Bus,U16,0.1,V,,,R,总BUS电压,Total BUS voltage,Installers,,,,,,,母线电压，逆变器会将PV的输入电压升压到BUS电压，达到逆变要求，再进行逆变,"bus voltage, the inverter will step up the input voltage of the PV to BUS voltage to reach the inverter requirement, and then carry out the inverter"
,,06CD,,Voltage_Bus_P,U16,0.1,V,,,R,BUS正电压,BUS positive voltage,Installers,,,,,,,"bus+,对地电压为正","bus+,the voltage to ground is positive"
,,06CE,,Voltage_Bus_N,U16,0.1,V,,,R,BUS负电压,BUS negative voltage,Installers,,,,,,,"bus-,对地电压为负","bus-, negative voltage to ground"
,,06CF,,Voltage_Bus_LLC,U16,0.1,V,,,R,LLC Bus电压,LLC Bus Voltage,Installers,,,,,,,,
,,06D0,,Current_BuckBoost,I16,0.01,A,,,R,BuckBoost电流,BuckBoost current,Installers,,,,,,,,
,,06D1,,Voltage_Bus_P_Half,U16,0.1,V,,,R,BUS正半电压,BUS positive half voltage,Installers,,,,,,,,
,,06D2,,Voltage_Bus_N_Half,U16,0.1,V,,,R,BUS负半电压,BUS negative half voltage,Installers,,,,,,,,
飞跨电容电压,Fly across capacitor voltage,06D3 -- 06E2,,FlyingCap_Voltage1 -- 16,U16,0.1,V,,,R,PV1-16飞跨电容电压（16个）,PV1-16 Fly Across Capacitor Voltages (16),Installers,,,,,,,,
内部信息,Internal information,06E3 -- 06EC,,Internal_Info1 -- 10,U16,0.1,V,,,R,内部信息1-10（10个，调试信息区）,"Internal messages 1-10 (10, commissioning message area)",Installers,,,,,,,,
逆变器额定功率,Inverter power rating,06ED,,RatedPower_Inverter,U16,0.1kW,kW,,,R,逆变器额定功率,Inverter power rating,,,,,,,,,
IV曲线扫描,IV curve scan,06EE,,IVPoints_Effec_Num,U16,1,,1,150,R,IV曲线扫描有效点的个数,Number of valid points for IV curve scan,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2.8Confluence information(0x0700-0x077F),,,,,,,,,,,,,,,,,,,,,
,,0700 -- 0703,,AddressMask_Realtime_CombinerInfo1,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",Installers,00000000,0000000F,,,,,,
"第1-16组
汇流电压
组串电流","Group 1 - 16
Convergence voltage
String current",0704 -- 0731,,Voltage_Group1 -- 16,U16,0.1,V,,,R,第1-16组汇流电压（16个）。,Group 1-16 sink voltages (16).,,,,,,,,与PV1电压相等，地址从0x0704开始，每组间隔3个地址。例：0x0866表示215V,"Equal to PV1 voltage, addresses start at 0x0704, each group is spaced 3 addresses apart. Example: 0x0866 means 215V"
,,0705 -- 0732,,"Current_Group1_Branch1 --
Current_Group16_Branch1",U16,0.01,A,,,R,第1-16组第1路组串电流（16个）。,Group 1-16 1st group string currents (16),,,,,,,,"与PV1电流相等，地址从0x0705开始，每组间隔3个地址，注意还有第3-4路组串电流，地址从0x0744开始。
例：0x015F表示3.51A","Equal to PV1 current, address from 0x0705, 3 addresses per group interval, note that there is also a 3rd-4th group string current, address from 0x0744.
Example: 0x015F means 3.51A"
,,0706 -- 0733,,"Current_Group1_Branch2 -- 
Current_Group16_Branch2",U16,0.01,A,,,R,第1-16组第2路组串电流（16个）。,Group 1-16 2nd string currents (16),,,,,,,,是否具备此功能与机型相关，案例参考第1组第1路组串电流，地址从0x0706开始，每组间隔3个地址，注意还有第3-4路组串电流，地址从0x0744开始。,"Availability of this function is model dependent, case reference group 1 1st string current, address starting at 0x0706, each group is spaced 3 addresses apart, note there is also a 3rd-4th string current, address starting at 0x0744."
,,0734 -- 073F,,,,,,,,,预留,Reserved,,,,,,,,,
,,0740 -- 0743,,AddressMask_Realtime_CombinerInfo2,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to description of address 0x0040",Installers,00000000,0000000F,,,,,,
"第1-16组
汇流
组串电流","Group 1-16
Sink current
String current",0744 -- 0762,,"Current_Group1_Branch3 --
Current_Group16_Branch3",U16,0.01,A,,,R,第1-16组第3路组串电流（16个）。,Group 1-16 3rd way group string current (16),,,,,,,,"是否具备此功能与机型相关
案例参考第1组第1路组串电流
每组间隔2个地址。","Availability of this function is model dependent
Case reference group 1 1st string current
Each group is spaced at 2 addresses."
,,0745 -- 0763,,"Current_Group1_Branch4 -- 
Current_Group16_Branch4",U16,0.01,A,,,R,第1-16组第4路组串电流（16个）。,Group 1-16 4th way string current (16),,,,,,,,,
,,0764 -- 077F,,,,,,,,,预留,Reserved,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2.9 Pull arc information (0x0780-0x07C8) The function of this block address is not used yet,,,,,,,,,,,,,,,,,,,,,
,,0780 -- 0783,,AddressMask_Realtime_ArcInfo3,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",Installers,00000000,0000000F,,,,,,
实时电弧强度,Real-time arc intensity,0784 -- 079B,,ArcStrength_MPPT_1 -- 24,I16,1,,,,R,MPPT 1 - 24 监测的实时电弧强度（24个）,MPPT 1 - 24 Real-time arc intensity monitored (24),,,,,,,,,
,,079C -- 07A1,,,,,,,,,预留,Reserved,,,,,,,,,
电弧强度历史值,Arc intensity history,07A2 -- 07B9,,ArcStrength_history_Channel1 -- 24,I16,1,,,,R,通道 1 -24 上电后记录监测到的电弧强度历史最大值，掉电后自动清除（24个）,Channels 1 - 24 Historical maximum value of monitored arc intensity recorded after power-up and automatically cleared after power-down (24),,,,,,,,,
,,07BA -- 07BF,,,,,,,,,预留,Reserved,,,,,,,,,
,,07C0 -- 07C3,,AddressMask_Realtime_ArcInfo4,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for 64 register address words starting at this address.
Refer to description of address 0x0040",Installers,00000000,0000000F,,,,,,
电弧极值,Arc polarity values,07C4,,arc_peak_to_peak,U16,1,,,,R,电弧最大峰峰值,Maximum peak-to-peak value of the arc,,,,,,,,,
,,07C5,,arc_variance,U16,1,,,,R,电弧最大方差,Arc maximum variance,,,,,,,,,
,,07C6,,arc_harmonic_energy,U16,1,,,,R,电弧最大谐波能量,Arc maximum harmonic energy,,,,,,,,,
,,07C7,,arc_amplitude_variance,U16,1,,,,R,电弧最大幅值方差,Arc maximum amplitude variance,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
III Safety parameters area(0x0800-0x0FFF),,,,,,,,,,,,,,,,,,,,,
3.1Start-up parameters(0x0800-0x083F),,,,,,,,,,,,,,,,,,,,,
,,0800,,ConnectWaitTime,U16,1,秒,1,65535,RW,并网前等待时间,Waiting time before grid connection,Installers,,,,,,,此界面寄存器都是互相独立的设定参数功能,The interface registers are all independent of each other for setting parameter functions
,,0801,,PowerUpSpeed,U16,1,%Pn/min,1,3000,RW,100表示1分钟升到满载对应的速率，其他值以此为基准进行乘除计算                            注：并网上升速度,"100 indicates the rate corresponding to a 1-minute rise to full load, other values are multiplied and divided on this basis Note: Grid connection rise rate",Installers,,,,,,,,
,,0802,,ReconnectWaitTime,U16,1,秒,1,65535,RW,电网故障恢复后重新并网前等待时间,Waiting time before re-connecting to the grid after grid failure recovery,Installers,,,,,,,,
,,0803,,ReconnectPowerUpSpeed,U16,1,%Pn/min,1,3000,RW,100表示1分钟升到满载对应的速率，其他值以此为基准进行乘除计算                            注：电网故障恢复后上升速度,"100 indicates the rate at which 1 minute rises to full load, other values are multiplied and divided by this.",Installers,,,,,,,,
,,0804,,VoltHighLimit,U16,0.1,V,0,65535,RW,启动电网电压上限                    注：电网启动时的电压不能超过此设定值,Upper limit of grid start-up voltage Note: The grid start-up voltage must not exceed this setting,End-users,,,,,,,,
,,0805,,VoltLowLimit,U16,0.1,V,0,65535,RW,启动电网电压下限                     注：电网启动时的电压不能低于此设定值,Lower limit of the start-up grid voltage Note: The voltage at start-up cannot be lower than this setting,End-users,,,,,,,,
,,0806,,FreqHighLimit,U16,0.01,Hz,4000,7000,RW,启动电网频率上限,Start grid frequency upper limit,End-users,,,,,,,,
,,0807,,FreqLowLimit,U16,0.01,Hz,4000,7000,RW,启动电网频率下限,Lower limit of start-up grid frequency,End-users,,,,,,,,
,,0808,,ReconnectVoltHighLimit,U16,0.1,V,0,65535,RW,重连电网电压上限,Reconnect grid voltage upper limit,End-users,,,,,,,,
,,0809,,ReconnectVoltLowLimit,U16,0.1,V,0,65535,RW,重连电网电压下限,Lower limit of reconnected grid voltage,End-users,,,,,,,,
,,080A,,ReconnectFreqHighLimit,U16,0.01,Hz,4000,7000,RW,重连电网频率上限                    注：重连启动时的电压频率不能超过此设定值,Upper limit of reconnect grid frequency Note: The voltage and frequency at reconnect start cannot exceed this setting,End-users,,,,,,,,
,,080B,,ReconnectFreqLowLimit,U16,0.01,Hz,4000,7000,RW,重连电网频率下限                     注：重连启动时的电压频率不能低于此设定值,Lower limit of reconnection grid frequency Note: The voltage and frequency at reconnection start cannot be lower than this setting,End-users,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3.2Voltage protection parameters(0x0840-0x087F),,,,,,,,,,,,,,,,,,,,,
,,0840,,Voltage Config,U16,,,,,RW,"Bit0：过压一级保护使能位
Bit1：过压二级保护使能位
Bit2：过压三级保护使能位
Bit3：欠压一级保护使能位
Bit4：欠压二级保护使能位
Bit5：欠压三级保护使能位
Bit6：10分钟过压保护使能位                  注：使能为置1为开，置0为关","Bit0: Overvoltage primary protection enable bit
Bit1: Overvoltage secondary protection enable bit
Bit2: Overvoltage level 3 protection enable bit
Bit3: Undervoltage primary protection enable bit
Bit4: Undervoltage secondary protection enable bit
Bit5: Undervoltage level 3 protection enable bit
Bit6: 10 minutes overvoltage protection enable bit Note: Enable is set to 1 for on, set to 0 for off",Installers,,,,,,,过压一/二/三级保护使能位分别控制着一/二/三级过压保护值和一/二/三级过压保护时间。         欠压一/二/三级保护使能位分别控制着一/二/三级欠压保护值和一/二/三级欠压保护时间。10分钟过压保护使能位控制着电网10分钟过压保护值。                        只有使能位打开，对应寄存器的功能才能体现。,"The overvoltage 1, 2 and 3 protection enable bits control the overvoltage protection values and the overvoltage protection times of 1, 2 and 3, respectively.         The 10-minute overvoltage protection enable bit controls the 10-minute overvoltage protection value of the grid.                        Only when the enable bit is turned on, the function of the corresponding register can be reflected."
,,0841,,RatedVoltage,U16,0.1,V,0,65535,RW,额定电网电压,Rated grid voltage,Installers,,,,,,,,
,,0842,,FirstOvervoltageProtectionValue,U16,0.1,V,0,65535,RW,一级过压保护值                       注：设定的第一级电压保护阈值，超过触发保护机制,Note: The first level of voltage protection threshold is set and exceeds the trigger protection mechanism,End-users,,,,,,,,
,,0843,,FirstOvervoltageProtectionTime,U16,10,ms,1,65535,RW,一级过压保护时间                     注：设定的第一级电压时间阈值，超过触发保护机制,"First-level overvoltage protection time Note: Set threshold for first-level voltage time, exceeds trigger protection mechanism",Installers,,,,,,,,
,,0844,,SecondOvervoltageProtectionValue,U16,0.1,V,0,65535,RW,二级过压保护值,Secondary overvoltage protection value,End-users,,,,,,,,
,,0845,,SecondOvervoltageProtectionTime,U16,10,ms,1,65535,RW,二级过压保护时间,Secondary overvoltage protection time,Installers,,,,,,,,
,,0846,,ThirdOvervoltageProtectionValue,U16,0.1,V,0,65535,RW,三级过压保护值,Tertiary overvoltage protection value,End-users,,,,,,,,
,,0847,,ThirdOvervoltageProtectionTime,U16,10,ms,1,65535,RW,三级过压保护时间,Three-stage overvoltage protection time,Installers,,,,,,,,
,,0848,,FirstUnderVoltageProtectionValue,U16,0.1,V,0,65535,RW,一级欠压保护值,Level 1 undervoltage protection value,End-users,,,,,,,,
,,0849,,FirstUndervoltageProtectionTime,U16,10,ms,1,65535,RW,一级欠压保护时间,Primary undervoltage protection time,Installers,,,,,,,,
,,084A,,SecondUnderVoltageProtectionValue,U16,0.1,V,0,65535,RW,二级欠压保护值,Secondary undervoltage protection value,End-users,,,,,,,,
,,084B,,SecondUndervoltageProtectionTime,U16,10,ms,1,65535,RW,二级欠压保护时间,Secondary undervoltage protection time,Installers,,,,,,,,
,,084C,,ThirdUnderVoltageProtectionValue,U16,0.1,V,0,65535,RW,三级欠压保护值,Three-stage undervoltage protection value,End-users,,,,,,,,
,,084D,,ThirdUndervoltageProtectionTime,U16,10,ms,1,65535,RW,三级欠压保护时间,Three-level undervoltage protection time,Installers,,,,,,,,
,,084E,,10MinOvervoltageProtectionValue,U16,0.1,V,0,65535,RW,电网10分钟过压保护值,Grid 10-minute overvoltage protection value,Installers,,,,,,,,
,,084F,,FirstOvervoltageProtectionTimeHi,U16,,,0,255,RW,一级过压保护时间高位                          ,Primary overvoltage protection time high                          ,Installers,,,,,,,注：该寄存器与一级过压保护时间组合成32位寄存器使用,Note: This register is used in combination with the primary overvoltage protection time to form a 32-bit register
,,0850,,SecondOvervoltageProtectionTimeHi,U16,,,0,255,RW,二级过压保护时间高位,Secondary overvoltage protection time high,Installers,,,,,,,注：该寄存器与二级过压保护时间组合成32位寄存器使用,Note: This register is used in combination with the secondary overvoltage protection time to form a 32-bit register
,,0851,,ThirdOvervoltageProtectionTimeHi,U16,,,0,255,RW,三级过压保护时间高位,Three-level overvoltage protection time high,Installers,,,,,,,注：该寄存器与三级过压保护时间组合成32位寄存器使用,Note: This register is used in combination with the three-stage overvoltage protection time to form a 32-bit register
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3.3Frequency protection parameters(0x0880-0x08BF),,,,,,,,,,,,,,,,,,,,,
,,0880,,FrequencyConfig,U16,,,,,RW,"Bit0 过频一级保护使能位
Bit1 过频二级保护使能位
Bit2 过频三级保护使能位
Bit3 欠频一级保护使能位
Bit4 欠频二级保护使能位
Bit5 欠频三级保护使能位                        注：使能为置1为开，置0为关   ","Bit0 Overfrequency primary protection enable bit
Bit1 Overfrequency secondary protection enable bit
Bit2 Overfrequency level 3 protection enable bit
Bit3 Underfrequency primary protection enable bit
Bit4 Underfrequency secondary protection enable bit
Bit5 Underfrequency level 3 protection enable bit Note: Enable is set to 1 for on, set to 0 for off ",Installers,,,,,,,过频一/二/三级保护使能位分别控制着一/二/三级过频保护值和一/二/三过频保护时间。                   欠频一/二/三级保护使能位分别控制着一/二/三级欠频保护值和一/二/三欠频保护时间。                 只有使能位打开，对应寄存器的功能才能体现。,"The Overfrequency I/II/III protection enable bits control the I/II/III overfrequency protection value and I/II/III overfrequency protection time respectively.                   The underfrequency 1, 2 and 3 protection enable bits control the 1, 2 and 3 underfrequency protection values and the 1, 2 and 3 underfrequency protection times respectively.                 Only when the enable bit is turned on can the function of the corresponding register be reflected."
,,0881,,RatedFrequency,U16,0.01,Hz,4000,7000,RW,额定电网频率,Rated grid frequency,Installers,,,,,,,,
,,0882,,FirstOverfrequencyProtectionValue,U16,0.01,Hz,4000,7000,RW,一级过频保护值                        注：一级频率保护阈值，超过触发保护机制,"Primary overfrequency protection value Note: Primary frequency protection threshold, exceeds trigger protection mechanism",End-users,,,,,,,,
,,0883,,FirstOverfrequencyProtectionTime,U16,10,ms,1,65535,RW,一级过频保护时间                           注：一级频率时间保护阈值，超过触发保护机制,"Primary overfrequency protection time Note: Primary frequency time protection threshold, exceeds the trigger protection mechanism",Installers,,,,,,,,
,,0884,,SecondOverfrequencyProtectionValue,U16,0.01,Hz,4000,7000,RW,二级过频保护值,Secondary overfrequency protection value,End-users,,,,,,,,
,,0885,,SecondOverfrequencyProtectionTime,U16,10,ms,1,65535,RW,二级过频保护时间,Secondary overfrequency protection time,Installers,,,,,,,,
,,0886,,ThirdOverfrequencyProtectionValue,U16,0.01,Hz,4000,7000,RW,三级过频保护值,Level 3 overfrequency protection value,End-users,,,,,,,,
,,0887,,ThirdOverfrequencyProtectionTime,U16,10,ms,1,65535,RW,三级过频保护时间,Level 3 overfrequency protection time,Installers,,,,,,,,
,,0888,,FirstUnderfrequencyProtectionValue,U16,0.01,Hz,4000,7000,RW,一级欠频保护值,Level 1 under-frequency protection value,End-users,,,,,,,,
,,0889,,FirstUnderfrequencyProtectionTime,U16,10,ms,1,65535,RW,一级欠频保护时间,Level 1 underfrequency protection time,Installers,,,,,,,,
,,088A,,SecondUnderfrequencyProtectionValue,U16,0.01,Hz,4000,7000,RW,二级欠频保护值,Secondary underfrequency protection value,End-users,,,,,,,,
,,088B,,SecondUnderfrequencyProtectionTime,U16,10,ms,1,65535,RW,二级欠频保护时间,Secondary underfrequency protection time,Installers,,,,,,,,
,,088C,,ThirdUnderfrequencyProtectionValue,U16,0.01,Hz,4000,7000,RW,三级欠频保护值,Three-level under-frequency protection value,End-users,,,,,,,,
,,088D,,ThirdUnderfrequencyProtectionTime,U16,10,ms,1,65535,RW,三级欠频保护时间,Three-level under-frequency protection time,Installers,,,,,,,,
,,088E,,FirstOverfrequencyProtectionTimeHi,U16,,,0,255,RW,一级过频保护时间高位,Level 1 overfrequency protection time high,,,,,,,,注：该寄存器与一级过频保护时间组合成32位寄存器使用,Note: This register is used in combination with the primary overclock protection time to form a 32-bit register
,,088F,,SecondOverfrequencyProtectionTimeHi,U16,,,0,255,RW,二级过频保护时间高位,Secondary overfrequency protection time high,,,,,,,,注：该寄存器与二级过频保护时间组合成32位寄存器使用,Note: This register is used in combination with the secondary overclock protection time to form a 32-bit register
,,0890,,ThirdOverfrequencyProtectionTimeHi,U16,,,0,255,RW,三级过频保护时间高位,Three-level underfrequency protection time high,,,,,,,,注：该寄存器与三级过频保护时间组合成32位寄存器使用,Note: This register is used in combination with the Level 3 under-frequency protection time to form a 32-bit register
,,0891,,FirstUnderfrequencyProtectionTimeHi,U16,,,0,255,RW,一级欠频保护时间高位,Level 1 underfrequency protection time high,,,,,,,,注：该寄存器与一级欠频保护时间组合成32位寄存器使用,Note: This register is used in combination with the primary under frequency protection time to form a 32-bit register.
,,0892,,SecondUnderfrequencyProtectionTimeHi,U16,,,0,255,RW,二级欠频保护时间高位,Secondary underfrequency protection time high,,,,,,,,注：该寄存器与二级欠频保护时间组合成32位寄存器使用,Note: This register is used in combination with the secondary underfrequency protection time to form a 32-bit register
,,0893,,ThirdUnderfrequencyProtectionTimeHi,U16,,,0,255,RW,三级欠频保护时间高位,Level 3 underfrequency protection time high,,,,,,,,注：该寄存器与三级欠频保护时间组合成32位寄存器使用,Note: This register is used in combination with the Level 3 under-frequency protection time to form a 32-bit register
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3.4DCI protection parameters(0x08C0-0x08FF),,,,,,,,,,,,,,,,,,,,,
,,08C0,,DCI Config,U16,,,,,RW,"Bit0：DCI 一级保护使能位
Bit1：DCI 二级保护使能位
Bit2：DCI 三级保护使能位
Bit3：DCI 测试使能位                               注：使能为置1为开，置0为关","Bit0: DCI primary protection enable bit
Bit1: DCI secondary protection enable bit
Bit2: DCI tertiary protection enable bit
Bit3: DCI test enable bit Note: enable is set to 1 for on, set to 0 for off",Installers,,,,,,,"DCI 一/二/三级保护使能位分别控制着DCI一/二/三级保护值和DCI一/二/三级保护时间。                     
DCI测试使能位控制着DCI （R、S、T）三相测试值只有使能位打开，对应寄存器的功能才能体现。","The DCI 1st/2nd/3rd protection enable bits control the DCI 1st/2nd/3rd protection value and the DCI 1st/2nd/3rd protection time, respectively.                     
The DCI test enable bit controls the DCI (R, S, T) three-phase test value Only when the enable bit is turned on, the function of the corresponding register can be reflected."
,,08C1,,DCIFirstProtectionValue,U16,1,mA,1,65535,RW,DCI一级保护值                                      ,DCI primary protection value                                      ,Installers,,,,,,,注：直流分量一级保护阈值，超过触发保护机制,"Note: DC component level 1 protection threshold, exceeds trigger protection mechanism"
,,08C2,,DCIFirstProtectionTime,U16,10,ms,1,65535,RW,DCI一级保护时间                                ,DCI primary protection time                                ,Installers,,,,,,,注：直流分量一级时间保护阈值，超过触发保护机制,"Note: DC component level 1 time protection threshold, exceeding the trigger protection mechanism"
,,08C3,,DCISecondProtectionValue,U16,1,mA,1,65535,RW,DCI二级保护值,DCI secondary protection value,Installers,,,,,,,,
,,08C4,,DCISecondProtectionTime,U16,10,ms,1,65535,RW,DCI二级保护时间,DCI secondary protection time,Installers,,,,,,,,
,,08C5,,DCIThirdProtectionValue,U16,1,mA,1,65535,RW,DCI三级保护值,DCI tertiary protection value,Installers,,,,,,,,
,,08C6,,DCIThirdProtectionTime,U16,10,ms,1,65535,RW,DCI三级保护时间,DCI tertiary protection time,Installers,,,,,,,,
,,08C7,,DCITestValue1,I16,1,mA,-32768,32767,RW,DCI R相测试值                              ,DCI R-phase test value                              ,Installers,,,,,,,注：直流分量R相测试设定值,Note: DC component R-phase test setpoint
,,08C8,,DCITestValue2,I16,1,mA,-32768,32767,RW,DCI S相测试值,DCI S-phase test value,Installers,,,,,,,,
,,08C9,,DCITestValue3,I16,1,mA,-32768,32767,RW,DCI T相测试值,DCI T-phase test value,Installers,,,,,,,,
,,08CA,,DCIFirstProtectionProportion,U16,0.01,%,1,65535,RW,DCI一级保护比例                    ,DCI primary protection ratio                    ,Installers,,,,,,,注：直流分量一级保护比例,Note: DC component level 1 protection ratio
,,08CB,,DCISecondProtectionProportion,U16,0.01,%,1,65535,RW,DCI二级保护比例,DCI secondary protection ratio,Installers,,,,,,,,
,,08CC,,DCIThirdProtectionProportion,U16,0.01,%,1,65535,RW,DCI三级保护比例,DCI tertiary protection ratio,Installers,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"                     3.5Active, over- and under-voltage load shedding parameters(0x0900-0x093F)",,,,,,,,,,,,,,,,,,,,,
,,0900,,"Remote Config
",U16,,,,,RW,"Bit0：有功降载使能位
Bit1：远程开关机使能位
Bit2：过压降载使能位
Bit3：过压充电降载使能位
Bit4：欠压降充电功率使能位
Bit5：DRM0使能位
Bit6：逻辑接口（DRM1-8）使能位
Bit7：防逆流过载使能位
Bit8：电压降载PT曲线使能位
Bit9：远程关机降载使能位(0：默认直接关机，1：斜率降载关机)                      
注：使能为置1为开，置0为关                     ","Bit0: Active down load enable bit
Bit1: Remote switch-on/off enable bit
Bit2: overvoltage down load enable bit
Bit3: overvoltage charge down enable bit
Bit4: Under-voltage charge-down power enable bit
Bit5: DRM0 enable bit
Bit6: Logic interface (DRM1-8) enable bit
Bit7: Anti-backflow overload enable bit
Bit8: Voltage drop-down PT curve enable bit
Bit9: Remote shutdown down load enable bit (0: default direct shutdown, 1: ramp down load shutdown)                      
Note: Enable is set to 1 for on, set to 0 for off ",Installers,,,,,,,"有功降载使能位控制有功输出百分比和有功降载速率 远程开关机使能位控制远程开关机。                        
过压降载使能位控制电网过压降载起始点/终止点/截止功率和过压降载速率。                      欠压降充电功率使能位控制着电网欠压降载起始点/终止点/截止功率。                             电压降载PT曲线使能位控制着电压降载时间。     
逻辑接口使能位控制着逻辑接口（1-8）对应功率。       
防逆流过载使能位控制着防逆流功率、防逆流过载时间、逻辑接口降载速率、逻辑接口回载速率。     
只有使能位打开，对应寄存器的功能才能体现。","The active load shedding enable bit controls the active output percentage and active load shedding rate The remote switch-on enable bit controls remote switch-off.                        
The overvoltage derate enable bit controls the grid overvoltage derate start/end/cut-off power and the overvoltage derate rate.                      The undervoltage step-down power enable bit controls the grid undervoltage step-down start/end/cut-off power.                             The voltage step-down PT curve enable bit controls the voltage step-down time.     
The logic interface enable bit controls the power corresponding to the logic interface (1-8).       
The anti-backflow overload enable bit controls the anti-backflow power, the anti-backflow overload time, the logical interface down load rate and the logical interface back load rate.     
Only when the enable bit is turned on can the function of the corresponding register be reflected."
,,0901,,ActiveOutputLimit,U16,0.1,%,0,1000,RW,有功输出百分比,Active output percentage,Installers,,,,,,,,
,,0902,,ActiveOutputDownSpeed,U16,1,%Pn/min,1,300,RW,有功降载速率,Active load shedding rate,,,,,,,,,
,,0903,,GridVoltageDropStart,U16,0.1,V,0,65535,RW,电网过压降载起始点,Grid overvoltage load shedding start point,Installers,,,,,,,,
,,0904,,GridVoltageDropStop,U16,0.1,V,0,65535,RW,电网过压降载终止点,Grid overvoltage derate cut-off point,Installers,,,,,,,,
,,0905,,GridVoltageDropMinPower,I16,1,%,-100,100,RW,电网过压降载截止功率,Grid over-voltage derating cut-off power,Installers,,,,,,,,
,,0906,,OvervoltageDownSpeed,U16,1,%Pn/min,1,300,RW,过压降载速率,Over-voltage derating rate,Installers,,,,,,,,
,,0907,,ChgDerateVoltStart,U16,0.1,V,0,65535,RW,电网欠压降载起始点,Grid under-voltage load shedding start point,Installers,,,,,,,,
,,0908,,ChgDerateVoltEnd,U16,0.1,V,0,65535,RW,电网欠压降载终止点,Grid undervoltage cut-off point,Installers,,,,,,,,
,,0909,,ChgDerateMinPower,I16,1,%,-100,100,RW,电网欠压降载截止功率,Grid undervoltage cut-off power,Installers,,,,,,,,
,,090A -- 0911,,PowerForLogic1 -- 8,I16,1,%,-100,100,RW,逻辑接口1-8对应功率（8个）,Power corresponding to logic interfaces 1-8 (8),Installers,,,,,,,,
,,0912,,RefluxPower,U16,1,%,0,100,RW,防逆流功率（VDE4105安规并网功率上限）,Anti-backflow power (VDE4105 safety regulation grid-connected power limit),Installers,,,,,,,,
,,0913,,RefluxOVloadTime,U16,10,ms,0,65535,RW,防逆流过载时间（VDE4105安规逆流过载脱网时间）,Anti-backflow overload time (VDE4105 safety regulation backflow overload off-grid time),Installers,,,,,,,,
,,0914,,LogicDerateSpeed,U16,1,%Pn/min,1,65535,RW,逻辑接口降载速率,Logical interface down load rate,Installers,,,,,,,,
,,0915,,LogicReloadSpeed,U16,1,%Pn/min,1,65535,RW,逻辑接口回载速率,Logical interface return load rate,Installers,,,,,,,,
,,0916,,VoltageDerateResponseTime,U16,1,秒,0,65535,RW,电压降载时间,Voltage down load rate,Installers,,,,,,,,
,,0917,,PowerDownSpeed,U16,1,%Pn/min,1,3000,RW,远程关机降载速率,Remote shutdown down rate,Installers,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
3.6Over-under frequency derating parameters(0x0940-0x097F),,,,,,,,,,,,,,,,,,,,,
